"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","AT12","Lower Austria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2008","2008",,,"0","Units",,,276900,"B","Break"
"2","Large regions (TL2)","AT12","Lower Austria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2009","2009",,,"0","Units",,,0.83,,
"2","Large regions (TL2)","AT12","Lower Austria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2009","2009",,,"0","Units",,,37.46,,
"2","Large regions (TL2)","AT12","Lower Austria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2009","2009",,,"0","Units",,,6300,,
"2","Large regions (TL2)","AT12","Lower Austria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2009","2009",,,"0","Units",,,285800,,
"2","Large regions (TL2)","AT12","Lower Austria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2010","2010",,,"0","Units",,,0.7,"E","Estimated value"
"2","Large regions (TL2)","AT12","Lower Austria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2010","2010",,,"0","Units",,,38.18,,
"2","Large regions (TL2)","AT12","Lower Austria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2010","2010",,,"0","Units",,,5400,"E","Estimated value"
"2","Large regions (TL2)","AT12","Lower Austria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2010","2010",,,"0","Units",,,294900,,
"2","Large regions (TL2)","AT12","Lower Austria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2011","2011",,,"0","Units",,,0.66,"E","Estimated value"
"2","Large regions (TL2)","AT12","Lower Austria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2011","2011",,,"0","Units",,,37.85,,
"2","Large regions (TL2)","AT12","Lower Austria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2011","2011",,,"0","Units",,,5100,"E","Estimated value"
"2","Large regions (TL2)","AT12","Lower Austria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2011","2011",,,"0","Units",,,294500,,
"2","Large regions (TL2)","AT12","Lower Austria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2012","2012",,,"0","Units",,,0.61,"E","Estimated value"
"2","Large regions (TL2)","AT12","Lower Austria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2012","2012",,,"0","Units",,,36.9,,
"2","Large regions (TL2)","AT12","Lower Austria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2012","2012",,,"0","Units",,,4800,"E","Estimated value"
"2","Large regions (TL2)","AT12","Lower Austria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2012","2012",,,"0","Units",,,288500,,
"2","Large regions (TL2)","AT12","Lower Austria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2013","2013",,,"0","Units",,,0.65,"E","Estimated value"
"2","Large regions (TL2)","AT12","Lower Austria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2013","2013",,,"0","Units",,,38.61,,
"2","Large regions (TL2)","AT12","Lower Austria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2013","2013",,,"0","Units",,,5100,"E","Estimated value"
"2","Large regions (TL2)","AT12","Lower Austria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2013","2013",,,"0","Units",,,301100,,
"2","Large regions (TL2)","AT12","Lower Austria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2014","2014",,,"0","Units",,,1,,
"2","Large regions (TL2)","AT12","Lower Austria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2014","2014",,,"0","Units",,,39.98,,
"2","Large regions (TL2)","AT12","Lower Austria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2014","2014",,,"0","Units",,,7900,,
"2","Large regions (TL2)","AT12","Lower Austria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2014","2014",,,"0","Units",,,314900,,
"2","Large regions (TL2)","AT13","Vienna","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2008","2008",,,"0","Units",,,1.11,"B","Break"
"2","Large regions (TL2)","AT13","Vienna","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2008","2008",,,"0","Units",,,45.44,"B","Break"
"2","Large regions (TL2)","AT13","Vienna","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2008","2008",,,"0","Units",,,8400,"B","Break"
"2","Large regions (TL2)","AT13","Vienna","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2008","2008",,,"0","Units",,,342700,"B","Break"
"2","Large regions (TL2)","AT13","Vienna","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2009","2009",,,"0","Units",,,1.29,,
"2","Large regions (TL2)","AT13","Vienna","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2009","2009",,,"0","Units",,,47.57,,
"2","Large regions (TL2)","AT13","Vienna","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2009","2009",,,"0","Units",,,9700,,
"2","Large regions (TL2)","AT13","Vienna","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2009","2009",,,"0","Units",,,359000,,
"2","Large regions (TL2)","AT13","Vienna","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2010","2010",,,"0","Units",,,0.95,,
"2","Large regions (TL2)","AT13","Vienna","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2010","2010",,,"0","Units",,,47.73,,
"2","Large regions (TL2)","AT13","Vienna","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2010","2010",,,"0","Units",,,7300,,
"2","Large regions (TL2)","AT13","Vienna","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2010","2010",,,"0","Units",,,365100,,
"2","Large regions (TL2)","AT13","Vienna","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2011","2011",,,"0","Units",,,0.93,,
"2","Large regions (TL2)","AT13","Vienna","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2011","2011",,,"0","Units",,,47.04,,
"2","Large regions (TL2)","AT13","Vienna","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2011","2011",,,"0","Units",,,7200,,
"2","Large regions (TL2)","AT13","Vienna","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2011","2011",,,"0","Units",,,363200,,
"2","Large regions (TL2)","AT13","Vienna","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2012","2012",,,"0","Units",,,0.93,,
"2","Large regions (TL2)","AT13","Vienna","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2012","2012",,,"0","Units",,,48.19,,
"2","Large regions (TL2)","AT13","Vienna","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2012","2012",,,"0","Units",,,7300,,
"2","Large regions (TL2)","AT13","Vienna","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2012","2012",,,"0","Units",,,376700,,
"2","Large regions (TL2)","AT13","Vienna","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2013","2013",,,"0","Units",,,0.94,,
"2","Large regions (TL2)","AT13","Vienna","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2013","2013",,,"0","Units",,,50.23,,
"2","Large regions (TL2)","AT13","Vienna","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2013","2013",,,"0","Units",,,7500,,
"2","Large regions (TL2)","AT13","Vienna","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2013","2013",,,"0","Units",,,399400,,
"2","Large regions (TL2)","AT13","Vienna","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2014","2014",,,"0","Units",,,1.11,,
"2","Large regions (TL2)","AT13","Vienna","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2014","2014",,,"0","Units",,,49.71,,
"2","Large regions (TL2)","AT13","Vienna","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2014","2014",,,"0","Units",,,8800,,
"2","Large regions (TL2)","AT13","Vienna","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2014","2014",,,"0","Units",,,393200,,
"2","Large regions (TL2)","AT21","Carinthia","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2008","2008",,,"0","Units",,,2.37,"B","Break"
"2","Large regions (TL2)","AT21","Carinthia","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2008","2008",,,"0","Units",,,32.68,"B","Break"
"2","Large regions (TL2)","AT21","Carinthia","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2008","2008",,,"0","Units",,,6100,"B","Break"
"2","Large regions (TL2)","AT21","Carinthia","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2008","2008",,,"0","Units",,,84000,"B","Break"
"2","Large regions (TL2)","AT21","Carinthia","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2009","2009",,,"0","Units",,,1.92,"E","Estimated value"
"2","Large regions (TL2)","AT21","Carinthia","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2009","2009",,,"0","Units",,,34.84,,
"2","Large regions (TL2)","AT21","Carinthia","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2009","2009",,,"0","Units",,,4900,"E","Estimated value"
"2","Large regions (TL2)","AT21","Carinthia","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2009","2009",,,"0","Units",,,88800,,
"2","Large regions (TL2)","AT21","Carinthia","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2010","2010",,,"0","Units",,,1.84,"E","Estimated value"
"2","Large regions (TL2)","AT21","Carinthia","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2010","2010",,,"0","Units",,,36.49,,
"2","Large regions (TL2)","AT21","Carinthia","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2010","2010",,,"0","Units",,,4700,"E","Estimated value"
"2","Large regions (TL2)","AT21","Carinthia","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2010","2010",,,"0","Units",,,93200,,
"2","Large regions (TL2)","AT21","Carinthia","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2011","2011",,,"0","Units",,,2.51,,
"2","Large regions (TL2)","AT21","Carinthia","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2011","2011",,,"0","Units",,,36.23,,
"2","Large regions (TL2)","AT21","Carinthia","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2011","2011",,,"0","Units",,,6400,,
"2","Large regions (TL2)","AT21","Carinthia","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2011","2011",,,"0","Units",,,92500,,
"2","Large regions (TL2)","AT21","Carinthia","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2012","2012",,,"0","Units",,,2.57,,
"2","Large regions (TL2)","AT21","Carinthia","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2012","2012",,,"0","Units",,,34.41,,
"2","Large regions (TL2)","AT21","Carinthia","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2012","2012",,,"0","Units",,,6600,,
"2","Large regions (TL2)","AT21","Carinthia","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2012","2012",,,"0","Units",,,88400,,
"2","Large regions (TL2)","AT21","Carinthia","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2013","2013",,,"0","Units",,,2.22,"E","Estimated value"
"2","Large regions (TL2)","AT21","Carinthia","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2013","2013",,,"0","Units",,,33.88,,
"2","Large regions (TL2)","AT21","Carinthia","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2013","2013",,,"0","Units",,,5700,"E","Estimated value"
"2","Large regions (TL2)","AT21","Carinthia","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2013","2013",,,"0","Units",,,87000,,
"2","Large regions (TL2)","AT21","Carinthia","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2014","2014",,,"0","Units",,,1.76,"E","Estimated value"
"2","Large regions (TL2)","AT21","Carinthia","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2014","2014",,,"0","Units",,,34.87,,
"2","Large regions (TL2)","AT21","Carinthia","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2014","2014",,,"0","Units",,,4500,"E","Estimated value"
"2","Large regions (TL2)","AT21","Carinthia","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2014","2014",,,"0","Units",,,89000,,
"2","Large regions (TL2)","AT22","Styria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2008","2008",,,"0","Units",,,1.3,"B","Break"
"2","Large regions (TL2)","AT22","Styria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2008","2008",,,"0","Units",,,32.27,"B","Break"
"2","Large regions (TL2)","AT22","Styria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2008","2008",,,"0","Units",,,7500,"B","Break"
"2","Large regions (TL2)","AT22","Styria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2008","2008",,,"0","Units",,,185800,"B","Break"
"2","Large regions (TL2)","AT22","Styria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2009","2009",,,"0","Units",,,1.27,,
"2","Large regions (TL2)","AT22","Styria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2009","2009",,,"0","Units",,,34.45,,
"2","Large regions (TL2)","AT22","Styria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2009","2009",,,"0","Units",,,7200,,
"2","Large regions (TL2)","AT22","Styria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2009","2009",,,"0","Units",,,196000,,
"2","Large regions (TL2)","AT22","Styria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2010","2010",,,"0","Units",,,1.12,,
"2","Large regions (TL2)","AT22","Styria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2010","2010",,,"0","Units",,,34.14,,
"2","Large regions (TL2)","AT22","Styria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2010","2010",,,"0","Units",,,6400,,
"2","Large regions (TL2)","AT22","Styria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2010","2010",,,"0","Units",,,195800,,
"2","Large regions (TL2)","AT22","Styria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2011","2011",,,"0","Units",,,1.27,,
"2","Large regions (TL2)","AT22","Styria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2011","2011",,,"0","Units",,,31.36,,
"2","Large regions (TL2)","AT22","Styria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2011","2011",,,"0","Units",,,7400,,
"2","Large regions (TL2)","AT22","Styria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2011","2011",,,"0","Units",,,182500,,
"2","Large regions (TL2)","AT22","Styria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2012","2012",,,"0","Units",,,1.07,,
"2","Large regions (TL2)","AT22","Styria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2012","2012",,,"0","Units",,,31.93,,
"2","Large regions (TL2)","AT22","Styria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2012","2012",,,"0","Units",,,6200,,
"2","Large regions (TL2)","AT22","Styria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2012","2012",,,"0","Units",,,185300,,
"2","Large regions (TL2)","AT22","Styria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2013","2013",,,"0","Units",,,1.19,,
"2","Large regions (TL2)","AT22","Styria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2013","2013",,,"0","Units",,,33.8,,
"2","Large regions (TL2)","AT22","Styria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2013","2013",,,"0","Units",,,6900,,
"2","Large regions (TL2)","AT22","Styria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2013","2013",,,"0","Units",,,196800,,
"2","Large regions (TL2)","AT22","Styria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2014","2014",,,"0","Units",,,1.34,,
"2","Large regions (TL2)","AT22","Styria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2014","2014",,,"0","Units",,,33.97,,
"2","Large regions (TL2)","AT22","Styria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2014","2014",,,"0","Units",,,7800,,
"2","Large regions (TL2)","AT22","Styria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2014","2014",,,"0","Units",,,197100,,
"2","Large regions (TL2)","AT31","Upper Austria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2008","2008",,,"0","Units",,,1.05,"B","Break"
"2","Large regions (TL2)","AT31","Upper Austria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2008","2008",,,"0","Units",,,29.55,"B","Break"
"2","Large regions (TL2)","AT31","Upper Austria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2008","2008",,,"0","Units",,,7400,"B","Break"
"2","Large regions (TL2)","AT31","Upper Austria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2008","2008",,,"0","Units",,,207600,"B","Break"
"2","Large regions (TL2)","AT31","Upper Austria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2009","2009",,,"0","Units",,,0.64,"E","Estimated value"
"2","Large regions (TL2)","AT31","Upper Austria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2009","2009",,,"0","Units",,,30.82,,
"2","Large regions (TL2)","AT31","Upper Austria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2009","2009",,,"0","Units",,,4500,"E","Estimated value"
"2","Large regions (TL2)","AT31","Upper Austria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2009","2009",,,"0","Units",,,215400,,
"2","Large regions (TL2)","AT31","Upper Austria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2010","2010",,,"0","Units",,,0.75,"E","Estimated value"
"2","Large regions (TL2)","AT31","Upper Austria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2010","2010",,,"0","Units",,,31.8,,
"2","Large regions (TL2)","AT31","Upper Austria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2010","2010",,,"0","Units",,,5300,"E","Estimated value"
"2","Large regions (TL2)","AT31","Upper Austria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2010","2010",,,"0","Units",,,224300,,
"2","Large regions (TL2)","AT31","Upper Austria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2011","2011",,,"0","Units",,,0.84,,
"2","Large regions (TL2)","AT31","Upper Austria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2011","2011",,,"0","Units",,,31.35,,
"2","Large regions (TL2)","AT31","Upper Austria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2011","2011",,,"0","Units",,,6000,,
"2","Large regions (TL2)","AT31","Upper Austria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2011","2011",,,"0","Units",,,222800,,
"2","Large regions (TL2)","AT31","Upper Austria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2012","2012",,,"0","Units",,,0.92,,
"2","Large regions (TL2)","AT31","Upper Austria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2012","2012",,,"0","Units",,,33.38,,
"2","Large regions (TL2)","AT31","Upper Austria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2012","2012",,,"0","Units",,,6600,,
"2","Large regions (TL2)","AT31","Upper Austria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2012","2012",,,"0","Units",,,239200,,
"2","Large regions (TL2)","AT31","Upper Austria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2013","2013",,,"0","Units",,,0.95,,
"2","Large regions (TL2)","AT31","Upper Austria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2013","2013",,,"0","Units",,,31.89,,
"2","Large regions (TL2)","AT31","Upper Austria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2013","2013",,,"0","Units",,,6800,,
"2","Large regions (TL2)","AT31","Upper Austria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2013","2013",,,"0","Units",,,228400,,
"2","Large regions (TL2)","AT31","Upper Austria","HT_MG_EMP_T_SH","Share of employment in high-technology manufacturing (in % of total employment)","ALL","All regions","2014","2014",,,"0","Units",,,0.97,,
"2","Large regions (TL2)","AT31","Upper Austria","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2014","2014",,,"0","Units",,,31.99,,
"2","Large regions (TL2)","AT31","Upper Austria","HT_MG_EMP_T","Employment in high-technology manufacturing","ALL","All regions","2014","2014",,,"0","Units",,,7000,,
"2","Large regions (TL2)","AT31","Upper Austria","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2014","2014",,,"0","Units",,,231800,,
"2","Large regions (TL2)","AT32","Salzburg","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2008","2008",,,"0","Units",,,34.02,"B","Break"
"2","Large regions (TL2)","AT32","Salzburg","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2008","2008",,,"0","Units",,,88700,"B","Break"
"2","Large regions (TL2)","AT32","Salzburg","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2009","2009",,,"0","Units",,,34.3,,
"2","Large regions (TL2)","AT32","Salzburg","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2009","2009",,,"0","Units",,,90100,,
"2","Large regions (TL2)","AT32","Salzburg","KIS_EMP_T_SH","Share of employment in knowledge-intensive services (as a share of total employment)","ALL","All regions","2010","2010",,,"0","Units",,,35.03,,
"2","Large regions (TL2)","AT32","Salzburg","KIS_EMP_T","Employment in knowledge-intensive services","ALL","All regions","2010","2010",,,"0","Units",,,92300,,
