DATAFLOW,LAST UPDATE,freq,training,learning,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,FI,2007,54.6,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,FI,2016,68.7,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,FR,2007,63.8,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,FR,2016,68.5,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,HR,2007,44.6,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,HR,2016,91.9,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,HU,2007,26.2,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,HU,2016,40.6,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,IE,2016,62.1,b
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,IT,2007,41.2,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,IT,2016,74.4,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,LT,2007,45.3,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,LT,2016,22.4,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,LU,2016,68.7,b
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,LV,2007,53.9,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,LV,2016,82.1,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,MK,2016,67.3,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,MT,2007,44.0,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,MT,2016,42.0,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,NL,2016,73.2,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,NO,2007,72.3,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,NO,2016,82.9,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,PL,2007,25.4,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,PL,2016,31.0,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,PT,2007,38.9,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,PT,2016,88.5,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,RO,2007,18.4,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,RO,2016,64.2,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,RS,2016,90.5,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,SE,2007,76.0,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,SE,2016,78.6,b
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,SI,2007,62.0,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,SI,2016,66.0,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,SK,2007,84.1,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,SK,2016,75.1,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,TR,2007,30.5,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,TR,2016,32.4,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,UK,2007,53.7,
ESTAT:TRNG_AES_201$DEFAULTVIEW(1.0),02/12/20 23:00:00,A,INF,TOTAL,Y25-64,PC,UK,2016,66.2,b
